# Entity to Wikidata ID Mapping
# Format: original_entity_name	wikidata_id	label	description	similarity_score

delirium	Q160796	delirium	severe confusion that develops quickly, and often fluctuates in intensity	1.000
deontology	Q221373	deontology	class of ethical theories	1.000
design and colors of a flag	NO_MATCH	N/A	N/A	0.000
designated hitter rule	NO_MATCH	N/A	N/A	0.000
designers	Q377192	The Designers Republic	graphic design studio	1.000
desire to eliminate competition	NO_MATCH	N/A	N/A	0.000
desire to gain access to new technologies or products	NO_MATCH	N/A	N/A	0.000
desire to increase market share	NO_MATCH	N/A	N/A	0.000
desserts	Q182940	dessert	course that concludes a meal; usually sweet	1.000
deuterium and tritium	Q67877038	Deuterium and tritium exchange in enzyme kinetics	scientific article published on December 14, 1976	0.651
developing intellectual abilities	NO_MATCH	N/A	N/A	0.000
development	Q3025404	Development	scientific journal	1.000
development of speech recognition systems	NO_MATCH	N/A	N/A	0.000
devices	Q135019061	Devices Tycoon	video game developed by Roastery Games	0.733
devotion to the Eucharist	NO_MATCH	N/A	N/A	0.000
diademed sifaka	Q677608	Diademed sifaka	species of mammal	1.000
diarrhea	Q40878	diarrhea	loose or liquid bowel movements	1.000
different populations	Q33804547	Different populations of CD11b+ dendritic cells drive Th2 responses in the small intestine and colon	scientific article	0.470
different variations	Q127373067	Different Variations of Cost Curve in Economics	scholarly article	0.678
digital technology	Q110401739	digital technology	design and development of digital devices and procedures that collect, store, analyze, manipulate, and display numerically encoded information	1.000
direct injection	Q5280346	Direct injection expanded foam molding	foam manufacturing process	0.664
disastrous consequences for Soviet agriculture	NO_MATCH	N/A	N/A	0.000
disciplines such as law and ethics	NO_MATCH	N/A	N/A	0.000
disease	Q12136	disease	abnormal condition negatively affecting organisms	1.000
disease in hosts	NO_MATCH	N/A	N/A	0.000
diseases	Q12136	disease	abnormal condition negatively affecting organisms	1.000
dish gardens	NO_MATCH	N/A	N/A	0.000
distance between the nuclei of two atoms	NO_MATCH	N/A	N/A	0.000
distinct culture	NO_MATCH	N/A	N/A	0.000
distinct language	NO_MATCH	N/A	N/A	0.000
distinctive aroma	Q111806796	distinctive aroma of deities	narrative motif documented in Thompson's Motif-Index of Folk-Literature	0.817
distinctive lisp	NO_MATCH	N/A	N/A	0.000
distinctive vocalizations	NO_MATCH	N/A	N/A	0.000
distribution	Q200726	probability distribution	mathematical function that describes the probability of occurrence of different possible outcomes in an experiment	1.000
disturbed areas	Q95975285	Disturbed Areas (Special Courts) Act, 1976	Act of the Parliament of India	0.566
diverse economy	NO_MATCH	N/A	N/A	0.000
diverse feeding strategies	NO_MATCH	N/A	N/A	0.000
diverse population	Q51914601	Diverse population-bursting modes of adapting spiking neurons.	scientific article published on 4 April 2007	0.556
diverse range of marine life	NO_MATCH	N/A	N/A	0.000
diverse range of plant and animal species	NO_MATCH	N/A	N/A	0.000
diversity of human experience	NO_MATCH	N/A	N/A	0.000
dividing weight in kilograms by height in meters squared	NO_MATCH	N/A	N/A	0.000
divination	Q1043197	divination	attempt to gain insight or secret knowledge into a question or situation by way of an occultic, standardized process or ritual	1.000
dolphins	Q223243	Miami Dolphins	National Football League franchise in Miami, Florida	1.000
domestic and international flights	NO_MATCH	N/A	N/A	0.000
dramatic and emotional live performances	NO_MATCH	N/A	N/A	0.000
drummer Tré Cool	NO_MATCH	N/A	N/A	0.000
dynamics of marriage	Q88030481	Dynamics of marriage change in Chinese rural society in transition: A study of a northern Chinese village	scientific article published on 01 January 2000	0.401
early 20th century	Q72003548	Early Twentieth Century Schools in Puerto Rico TR	multiple listing in the U.S. National Register of Historic Places	0.826
ease of care	NO_MATCH	N/A	N/A	0.000
eastern Mediterranean coast	NO_MATCH	N/A	N/A	0.000
economic and political reforms in Egypt	NO_MATCH	N/A	N/A	0.000
economical storage	NO_MATCH	N/A	N/A	0.000
economics	Q8134	economics	social science that studies the production, distribution, and consumption of goods and services	1.000
economy	Q159810	economy	area of the production, distribution and trade, as well as consumption of goods and services by different agents	1.000
education	Q8434	education	transmission of knowledge and skills	1.000
education should focus on the great works of literature, history, and philosophy	NO_MATCH	N/A	N/A	0.000
educational purposes	NO_MATCH	N/A	N/A	0.000
efficiency of a search algorithm	NO_MATCH	N/A	N/A	0.000
efficient and effective software development	NO_MATCH	N/A	N/A	0.000
efforts to promote peace and unity within the church	NO_MATCH	N/A	N/A	0.000
efforts to reform the church	NO_MATCH	N/A	N/A	0.000
efforts to restore imperial authority	NO_MATCH	N/A	N/A	0.000
efforts to reunify Japan	NO_MATCH	N/A	N/A	0.000
eggs	Q1321695	egg cell	haploid female reproductive cell or gamete	1.000
eight pawns	NO_MATCH	N/A	N/A	0.000
either sent to concentration camps	NO_MATCH	N/A	N/A	0.000
el aceite de oliva	NO_MATCH	N/A	N/A	0.000
el gazpacho	Q120404012	El Gazpacho y el Zangano de Alcalá de los Gazules	designation of intangible heritage of Alcalá de los Gazules, Spain	0.429
el jamón ibérico	NO_MATCH	N/A	N/A	0.000
el pescado	Q20224026	El Pescado		1.000
election of Holy Roman Emperor Otto II	NO_MATCH	N/A	N/A	0.000
electromagnetism	Q11406	electromagnetism	branch of science concerned with the phenomena of electricity and magnetism	1.000
electronic transactions	Q56758026	Electronic Transactions Act 1999	Act of the Parliament of Australia, currently registered as C2011C00445	0.913
electronics	Q11650	electronics	physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter	1.000
electrons and protons	Q68466606	Electrons and protons in solar energetic particle events	scientific article published in January 2007	0.619
electronvolt	Q83327	electronvolt	unit of energy	1.000
electrostatic repulsion	Q35994644	Electrostatic Repulsion Governs TDP-43 C-terminal Domain Aggregation	scientific article	0.608
elongated legs	NO_MATCH	N/A	N/A	0.000
emergency management officials	NO_MATCH	N/A	N/A	0.000
emergency situations	Q68237699	Emergency situations	scientific article published on 01 November 1976	1.000
emus	Q989514	Emus	genus of insects	1.000
enabling computers	NO_MATCH	N/A	N/A	0.000
enabling illegal activities	NO_MATCH	N/A	N/A	0.000
endangered	Q56660246	endangered	category in the Red List of threatened species in the Czech Republic	1.000
enduring ideas and concepts	NO_MATCH	N/A	N/A	0.000
enemies after battle	NO_MATCH	N/A	N/A	0.000
energetic live performances	NO_MATCH	N/A	N/A	0.000
energy	Q11379	energy	quantitative property of a physical system, recognizable in the performance of work and in the form of heat and light	1.000
engineering	Q11023	engineering	applied science	1.000
engineers	Q151197	military engineer	military vocation	1.000
enterprise integration standards	NO_MATCH	N/A	N/A	0.000
entire life cycle on host	NO_MATCH	N/A	N/A	0.000
environmental causes	Q48457858	Environmental causes of violence	scientific article published on 14 September 2009	0.856
environmental monitoring	Q1749732	environmental monitoring	monitoring of the quality of the environment	1.000
environmental policies may have unintended consequences	NO_MATCH	N/A	N/A	0.000
epic scope	NO_MATCH	N/A	N/A	0.000
especialidades regionales	NO_MATCH	N/A	N/A	0.000
especially in people with certain medical conditions	NO_MATCH	N/A	N/A	0.000
essential importance	Q74754839	Essential importance of electronics in physical medicine	scientific article published on 01 January 1957	0.616
establishment of new monasteries	NO_MATCH	N/A	N/A	0.000
establishment of the Muromachi period	NO_MATCH	N/A	N/A	0.000
ethical theory	Q9465	ethics	branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct	1.000
every impartial game can be represented by a nimber	NO_MATCH	N/A	N/A	0.000
every possible interpretation of a logical system	NO_MATCH	N/A	N/A	0.000
everyday life	Q72087708	Everyday Life	2019 studio album by Coldplay	1.000
evidence that a message was sent and received by the intended parties	NO_MATCH	N/A	N/A	0.000
evidence that the contents of the message were not altered in transit	NO_MATCH	N/A	N/A	0.000
evolutionary biology	Q840400	evolutionary biology	study of the processes that produced the diversity of life	1.000
exact cause of Crohn's disease	NO_MATCH	N/A	N/A	0.000
excessively difficult to use or understand	NO_MATCH	N/A	N/A	0.000
excessively harsh laws or punishments	NO_MATCH	N/A	N/A	0.000
executing programs written in the lambda calculus	NO_MATCH	N/A	N/A	0.000
existing copper telephone lines	NO_MATCH	N/A	N/A	0.000
expand its influence over the country	NO_MATCH	N/A	N/A	0.000
expanded influence over surrounding regions	NO_MATCH	N/A	N/A	0.000
expertise in classical languages and literature	NO_MATCH	N/A	N/A	0.000
exploration	Q6502154	exploration	act of searching or traveling around a terrain for the purpose of discovery	1.000
explore the solar system and conduct scientific research	NO_MATCH	N/A	N/A	0.000
exponential functions	Q115516437	Exponential functions through a real-world context	scientific article published in 2020	0.676
exponentials	Q4446020	exponential sum	finite sum formed using the exponential function	1.000
extensive	Q15146685	Extensive	Hungarian musical group	1.000
extremely cold and wet conditions	NO_MATCH	N/A	N/A	0.000
extremely poor	Q38080036	Extremely poor postrecurrence oncological outcome for patients with recurrent mucinous ovarian cancer	scientific article published on 08 February 2013	0.311
failed invasion of Greece in 480 BCE	NO_MATCH	N/A	N/A	0.000
failed rebellion against his father	NO_MATCH	N/A	N/A	0.000
fair competition	Q24708117	Fair Competition in Business	2016 film by Myles O'Howe	0.800
fairies	Q8028	fairy	mythical being or legendary creature in European folklore	1.000
fairy	Q1393460	Fairy	brand of dishwashing liquid	1.000
fairyland	Q1393478	Fairyland	French symphonic power/speed metal band	1.000
fall fair	NO_MATCH	N/A	N/A	0.000
family groups	Q125818398	Family Groups	episode of Hi-5 (S8 E27)	1.000
family, ambition, and the consequences of one's actions	NO_MATCH	N/A	N/A	0.000
famous morality plays	NO_MATCH	N/A	N/A	0.000
famous spacecraft	NO_MATCH	N/A	N/A	0.000
famous tombs	NO_MATCH	N/A	N/A	0.000
famous writers	Q43509474	Famous writers in Davos	scientific article published on November 29, 1970	0.804
fashion	Q12684	fashion	popular style or practice in clothing, personal adornment, or decorative arts	1.000
faster download speeds than traditional dial-up connections	NO_MATCH	N/A	N/A	0.000
fatigue	Q9690	fatigue	medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep	1.000
fear	Q2620856	F.E.A.R.	first-person shooter video game series introduced in 2005	1.000
feathers	Q81025	feather	body-covering structure of some dinosaurs including birds	1.000
feedback from the community	NO_MATCH	N/A	N/A	0.000
fellow of the Royal Society	Q15631401	Fellow of the Royal Society	elected Fellow of the Royal Society in London, including Honorary, Foreign and Royal Fellows	1.000
female	Q6581072	female	to be used in "sex or gender" (P21) to indicate that the human subject is a female or "semantic gender" (P10339) to indicate that a word refers to a female person	1.000
fermenting materials	NO_MATCH	N/A	N/A	0.000
fertilizers	Q83323	fertilizer	material of natural or synthetic origin (other than liming materials) applied to soils or to plants to supply essential nutrients	1.000
few Rebel pilots	NO_MATCH	N/A	N/A	0.000
few have survived to the present day	NO_MATCH	N/A	N/A	0.000
few trees	NO_MATCH	N/A	N/A	0.000
fiber-optic internet	NO_MATCH	N/A	N/A	0.000
fibers	Q161	fiber	natural or synthetic substance that is significantly longer than it is wide	1.000
fictional creation of ancient writers	NO_MATCH	N/A	N/A	0.000
fields such as chemistry, physics, and biology	NO_MATCH	N/A	N/A	0.000
fields such as materials science, electronics, and neuroscience	NO_MATCH	N/A	N/A	0.000
fierce warriors	NO_MATCH	N/A	N/A	0.000
filmmaker Alfred Hitchcock	Q113666213	Filmmaker Alfred Hitchcock Visits Israel	newsreel	0.841
filmmakers, industry professionals, and film enthusiasts	NO_MATCH	N/A	N/A	0.000
films	Q11424	film	sequence of images that give the impression of movement, stored on film stock	1.000
films and literature	NO_MATCH	N/A	N/A	0.000
filter feeding	Q95674972	filter feeding	subconcept of Animal feeding (scot/1210)	1.000
first Ahasuerus	NO_MATCH	N/A	N/A	0.000
first chairman of the Chinese Writers' Association	NO_MATCH	N/A	N/A	0.000
first socialist president of France	NO_MATCH	N/A	N/A	0.000
first spacecraft to enter interstellar space	NO_MATCH	N/A	N/A	0.000
first spacecraft to fly by and photograph Mars	NO_MATCH	N/A	N/A	0.000
first spacecraft to fly by and photograph Venus	NO_MATCH	N/A	N/A	0.000
first spacecraft to fly by and photograph the Moon	NO_MATCH	N/A	N/A	0.000
first spacecraft to leave the solar system	NO_MATCH	N/A	N/A	0.000
first spacecraft to make a flyby of Jupiter	NO_MATCH	N/A	N/A	0.000
first spacecraft to travel through the asteroid belt	NO_MATCH	N/A	N/A	0.000
fishing	Q14373	fishing	activity of trying to catch fish	1.000
five Grammy Awards	NO_MATCH	N/A	N/A	0.000
five carbon atoms	NO_MATCH	N/A	N/A	0.000
five teams in Central division	NO_MATCH	N/A	N/A	0.000
five teams in East division	NO_MATCH	N/A	N/A	0.000
five teams in West division	NO_MATCH	N/A	N/A	0.000
five years in prison	NO_MATCH	N/A	N/A	0.000
flag	Q14660	flag	distinctive image used as a symbol, traditionally embodied as a piece of fabric	1.000
flagpoles	Q119382787	Flagpoles	painting by Norman Stevens (1937–1988), British Council Collection	1.000
flags	Q14660	flag	distinctive image used as a symbol, traditionally embodied as a piece of fabric	1.000
flattened bodies	NO_MATCH	N/A	N/A	0.000
flattened body	NO_MATCH	N/A	N/A	0.000
flattened, disc-shaped bodies	NO_MATCH	N/A	N/A	0.000
flowering plant	Q25314	flowering plant	clade of seed plants that produce flowers	1.000
flowering plants	Q25314	flowering plant	clade of seed plants that produce flowers	1.000
flowers	Q506	flower	sexual reproductive structure found on flowering plants	1.000
fluid dynamics	Q216320	fluid dynamics	subdiscipline of fluid mechanics that deals with fluid flow—the natural science of fluids (liquids and gases) in motion	1.000
foods	Q27726931	Foods	scientific journal	1.000
football	Q2736	association football	sport that is practiced between two teams of eleven players	1.000
forests of Scythia	NO_MATCH	N/A	N/A	0.000
forgetfulness	Q19031788	Forgetfulness	poem by Clark Ashton Smith	1.000
formal semantics for functional programming languages	NO_MATCH	N/A	N/A	0.000
formation of the European Union	NO_MATCH	N/A	N/A	0.000
former CEO of ImClone Systems	NO_MATCH	N/A	N/A	0.000
four cases	Q7221821	Four Cases of the Qing Dynasty	group of cases	0.700
four characters	Q30083359	four characters	set of four characters	1.000
four international airports	NO_MATCH	N/A	N/A	0.000
four main characters	NO_MATCH	N/A	N/A	0.000
four registers	Q109969166	Four Registers of Fourteen Dancing Figures	drawing by Henri Gaudier-Brzeska	0.565
fragmentation	Q1132459	fragmentation	inefficient, non-contiguous allocation of memory or storage space	1.000
fraud investigations	Q106980539	Fraud Investigations Activity Report 2019	European Investment Bank publication	0.816
freeroll	Q2635836	Freeroll	type of poker tournament	1.000
freerolls	Q80131	poker	family of card games	0.868
freerolls as a promotional tool	NO_MATCH	N/A	N/A	0.000
freshwater and marine environments	NO_MATCH	N/A	N/A	0.000
freshwater and soil environments	NO_MATCH	N/A	N/A	0.000
friendly or hostile	NO_MATCH	N/A	N/A	0.000
friendly relations with indigenous peoples	NO_MATCH	N/A	N/A	0.000
from 1623 to 1640	NO_MATCH	N/A	N/A	0.000
from January to May 1944	NO_MATCH	N/A	N/A	0.000
fructose	Q122043	keto-D-fructose	chemical compound	1.000
fruit	Q3314483	fruit	typically sweet and/or sour, edible part/s of a plant that resembles seed-bearing fruit	1.000
fruit, timber, or medicinal properties	NO_MATCH	N/A	N/A	0.000
fruits	Q1364	fruit	botanical term for the mature ovary or ovaries of one or more flowers. For foods commonly known as fruit, use Q3314483	1.000
full sun exposure	NO_MATCH	N/A	N/A	0.000
fun	Q838984	Fun	American indie rock band	1.000
fundamental normative rules about what is allowed of people or owed to people	NO_MATCH	N/A	N/A	0.000
fungi	Q764	fungi	biological kingdom, separate from plants and animals	1.000
furniture	Q14745	furniture	movable objects used to equip households, offices, or shops for purposes such as storage, seating, sleeping	1.000
future spaceplane designs	NO_MATCH	N/A	N/A	0.000
gambling	Q11416	gambling	wagering of money on a game of chance or event with an uncertain outcome	1.000
gender roles	Q17162788	gender roles in childhood	overview about gender roles in childhood	0.787
genetics	Q7162	genetics	science of genes, heredity, and variation in living organisms	1.000
geographic knowledge	Q55833124	Geographic knowledge extraction and semantic similarity in OpenStreetMap	journal article from 'Knowledge and Information Systems' published in 2013	0.531
geography	Q1071	geography	science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other	1.000
geophysics	Q46255	geophysics	study of physical processes and phenomena occurring in the Earth and in its vicinity, and of their characteristics	1.000
gladiators or heelwalkers	NO_MATCH	N/A	N/A	0.000
glass	Q16870200	Glass	family name	1.000
glucose	Q37525	glucose	simple sugar, or monosaccharide, with the chemical formula C6H12O6; also called dextrose, d-glucopyranose, cerelose, grape sugar, and corn sugar	1.000
glucose and oxygen	Q72392916	Glucose and oxygen utilization by the rabbit cornea	scientific article published on 01 April 1969	0.588
governments and public health organizations	NO_MATCH	N/A	N/A	0.000
graffiti duo SAMO	NO_MATCH	N/A	N/A	0.000
grains	Q11972430	Grains	2009 debut studio album by Ruben Sverre Gjertsen	1.000
grasses, mosses, and lichens	NO_MATCH	N/A	N/A	0.000
grasslands of North America, Europe, and Asia	NO_MATCH	N/A	N/A	0.000
greed	Q12819497	greed	insatiable longing for material gain	1.000
ground stations	NO_MATCH	N/A	N/A	0.000
ground warfare	Q1190472	ground warfare	combat operations conducted primarily using ground-based forces and weapons	1.000
growing economy	NO_MATCH	N/A	N/A	0.000
guitar	Q6607	guitar	fretted string instrument	1.000
habitat loss	Q552431	habitat destruction	state when natural environment becomes unable to support its native species due to human activity	1.000
hairlessness	Q66954157	Hairlessness in Mus musculus. A pathologic study	scientific article published on 01 June 1975	0.475
half-fairy and half-mortal	NO_MATCH	N/A	N/A	0.000
hallucinations	Q130741	hallucination	perception in the presence of no external stimuli found, but characteristic of true perception	1.000
harm to humans, animals, or plants	NO_MATCH	N/A	N/A	0.000
has been largely replaced by other keys	NO_MATCH	N/A	N/A	0.000
has sold over 20 million copies	NO_MATCH	N/A	N/A	0.000
head of United States Department of Justice	NO_MATCH	N/A	N/A	0.000
healing	Q37468109	Healing	family name	1.000
healthcare	Q31207	health care	prevention of disease and promotion of wellbeing of humans and animals	1.000
healthcare organizations	Q79449423	Healthcare organizations as moral communities	scientific article published on 01 January 2006	0.746
healthy with a range of 18.5-24.9	NO_MATCH	N/A	N/A	0.000
heavily cratered	NO_MATCH	N/A	N/A	0.000
heavy casualties on both sides	NO_MATCH	N/A	N/A	0.000
heavy fines on railroads	NO_MATCH	N/A	N/A	0.000
heavy fines on shippers	NO_MATCH	N/A	N/A	0.000
heavy losses	Q114522678	Heavy Losses	episode of Army Wives (S4 E7)	1.000
height and weight	Q47407691	Height and weight at various ages and risk of breast cancer	scientific article published on September 1, 1992	0.502
helicopters	Q34486	helicopter	aerodyne using powered rotary wings for primary lift generation	1.000
her dreams	NO_MATCH	N/A	N/A	0.000
her sophisticated and glamorous on-screen persona	NO_MATCH	N/A	N/A	0.000
herbivores	Q45874067	herbivory	feeding behavior whereby animals eat plant material	1.000
herds	Q12059906	herder	person who tends, feeds, or guards herds of various domestic animals in places where these animals wander pasture lands	1.000
high concentrations	Q53581214	High Concentrations of Glutathione in Glandular Stomach: Possible Implications for Carcinogenesis	scientific article published on September 7, 1979	0.416
high condition number	NO_MATCH	N/A	N/A	0.000
high temperatures and pressures	NO_MATCH	N/A	N/A	0.000
high-pitched vocals	NO_MATCH	N/A	N/A	0.000
high-speed internet connection	NO_MATCH	N/A	N/A	0.000
highly flammable	Q77500793	Highly flammable bed pads banned in Boston; warning issued	scientific article published on 01 June 1982	0.492
highly influential	NO_MATCH	N/A	N/A	0.000
hikers	Q13105405	hiker	person who hikes	1.000
hiking	Q12014035	hiking	walking as a hobby, sport, or leisure activity	1.000
him as king	NO_MATCH	N/A	N/A	0.000
himself	Q18086706	self	to be used with "character role" (P453)	1.000
his anti-war poetry	NO_MATCH	N/A	N/A	0.000
his assassination in 1981	NO_MATCH	N/A	N/A	0.000
his brother Ibrahim	NO_MATCH	N/A	N/A	0.000
his contemporaries	NO_MATCH	N/A	N/A	0.000
his controversial marriage to Judith of Flanders	NO_MATCH	N/A	N/A	0.000
his death	NO_MATCH	N/A	N/A	0.000
his death in 1190	NO_MATCH	N/A	N/A	0.000
his death in 737	NO_MATCH	N/A	N/A	0.000
his discovery of the element protactinium	NO_MATCH	N/A	N/A	0.000
his father about the Trojan War	NO_MATCH	N/A	N/A	0.000
his half-brother	NO_MATCH	N/A	N/A	0.000
his harsh legal code	NO_MATCH	N/A	N/A	0.000
his kingdom	Q128599359	His Kingdom Beckons Us Now	Christian hymn text by Tom Colvin	0.676
his loose brushstrokes	NO_MATCH	N/A	N/A	0.000
his medals	NO_MATCH	N/A	N/A	0.000
his opposition to President Boris Yeltsin	NO_MATCH	N/A	N/A	0.000
his own soldiers	NO_MATCH	N/A	N/A	0.000
his paintings a sense of movement and spontaneity	NO_MATCH	N/A	N/A	0.000
his paintings of bustling Parisian life	NO_MATCH	N/A	N/A	0.000
his portraits of women	NO_MATCH	N/A	N/A	0.000
his role as Seamus Harper	NO_MATCH	N/A	N/A	0.000
his role as the scientific director of the Manhattan Project	NO_MATCH	N/A	N/A	0.000
his scholarship and teaching	NO_MATCH	N/A	N/A	0.000
his shares in the company	NO_MATCH	N/A	N/A	0.000
his son, Favila	NO_MATCH	N/A	N/A	0.000
his support for a more centralized government	NO_MATCH	N/A	N/A	0.000
his use of vibrant colors	NO_MATCH	N/A	N/A	0.000
his wedding	Q3136457	His Wedding Eve	1912 film directed by Colin Campbell	0.923
his work "Art of Grammar"	NO_MATCH	N/A	N/A	0.000
his work on Latin grammar	NO_MATCH	N/A	N/A	0.000
his work with Enrico Fermi on the first nuclear reactor	NO_MATCH	N/A	N/A	0.000
historic center of Alcamo	NO_MATCH	N/A	N/A	0.000
historic city of Cagliari	NO_MATCH	N/A	N/A	0.000
historic landmarks	Q84015776	historic landmark	landmark of historical nature	1.000
historic landmarks such as the Old Man of Hoy sea stack	NO_MATCH	N/A	N/A	0.000
historical events, political ideologies, or cultural traditions	NO_MATCH	N/A	N/A	0.000
historically nomadic hunters and gatherers	NO_MATCH	N/A	N/A	0.000
history	Q309	history	past events and their tracks or records	1.000
home games at Estadio da Malata	NO_MATCH	N/A	N/A	0.000
horticulture	Q48803	horticulture	agriculture of plants	1.000
hospital for local Native American population	NO_MATCH	N/A	N/A	0.000
hospitals	Q27711167	Hospitals	journal	1.000
houseplants	Q91925556	Houseplants	visual artwork by Maya Attoun	1.000
hover	Q98841891	Hover	2017 video game	1.000
human activities	Q61788060	human activity	activity initiated by a human, intentionally or unintentionally	1.000
human ancestors went through a semi-aquatic phase	NO_MATCH	N/A	N/A	0.000
human behavior	Q3769299	human behavior	array of physical actions and observable emotions associated with humans	1.000
human diversity	Q28763983	Human diversity	article	1.000
human language	Q34770	language	particular system of communication, often named for the region or peoples that use it	1.000
human societies	Q100794438	Human societies and environmental changes since the Neolithic in Greece and Albania	scientific article published on 31 December 2011	0.382
humans	Q15978631	Homo sapiens	species of mammal	1.000
hunting	Q22183	Hunting	commune in Moselle, France	1.000
hurricanes	Q34439356	hurricane	group of tropical storms of the Atlantic and east Pacific basins with sustained wind speeds > 64 kt. Classified by Saffir–Simpson scale	1.000
hydrogen	Q556	hydrogen	chemical element with symbol H and atomic number 1	1.000
ice	Q23392	ice	water frozen into the solid state	1.000
ice climbing	Q1148495	ice climbing	type of climbing with ice tools	1.000
idea that all traits are adaptations	NO_MATCH	N/A	N/A	0.000
ideal gas law	Q191785	ideal gas law	equation of state of a hypothetical ideal gas	1.000
idealistic war sonnets	NO_MATCH	N/A	N/A	0.000
identity	Q16577364	Identity	episode of Arrow	1.000
illegal activities	NO_MATCH	N/A	N/A	0.000
images inline with text	NO_MATCH	N/A	N/A	0.000
immune system	Q1059	immune system	biological system	1.000
impact of cyclones	Q113401164	Impact of cyclones on hard coral and metapopulation structure, connectivity and genetic diversity of coral reef fish	scientific article published on 18 May 2021	0.328
impartial game	Q2289490	impartial game	game in which the allowable moves depend on the current position and not on which of the two players is currently moving	1.000
importance of designing programming languages and systems	NO_MATCH	N/A	N/A	0.000
importance of music in worship	NO_MATCH	N/A	N/A	0.000
important agricultural land for settlers	NO_MATCH	N/A	N/A	0.000
important applications in the analysis of game complexity	NO_MATCH	N/A	N/A	0.000
important applications in the development of winning strategies	NO_MATCH	N/A	N/A	0.000
important discoveries	Q36971380	Important discoveries from analysing bacterial phenotypes.	scientific article published on 04 August 2008	0.585
important habitats for Native American tribes	NO_MATCH	N/A	N/A	0.000
important implications for the foundations of mathematics	NO_MATCH	N/A	N/A	0.000
important implications in the field of algorithmic information theory	NO_MATCH	N/A	N/A	0.000
important members of aquatic food webs	NO_MATCH	N/A	N/A	0.000
in a boxing ring	NO_MATCH	N/A	N/A	0.000
in a way	Q6011488	In a Way	extended play by Joe Inoue	1.000
in an area of 1.3 square miles	NO_MATCH	N/A	N/A	0.000
in thermonuclear fusion	NO_MATCH	N/A	N/A	0.000
include, Model Driven Architecture	NO_MATCH	N/A	N/A	0.000
include, Unified Modeling Language	NO_MATCH	N/A	N/A	0.000
including rising sea levels	NO_MATCH	N/A	N/A	0.000
increase in urbanization	NO_MATCH	N/A	N/A	0.000
increased efforts in preparedness and response planning	NO_MATCH	N/A	N/A	0.000
increased tensions	NO_MATCH	N/A	N/A	0.000
increased tensions between Britain and its American colonies	NO_MATCH	N/A	N/A	0.000
independent state	Q3624078	sovereign state	state that has the highest authority over a territory	1.000
independent, art-house, and documentary films	NO_MATCH	N/A	N/A	0.000
indigenous peoples	Q103817	indigenous people	first inhabitants of an area and their descendants	1.000
individuals	Q795052	individual	individual person or organism	1.000
individuals who need to communicate anonymously	NO_MATCH	N/A	N/A	0.000
indri	Q19816385	Indri	genus of mammals	1.000
industrial heritage	Q71248244	Industrial Heritage	classification of heritage in Portugal	1.000
infectious diseases like HIV and hepatitis	NO_MATCH	N/A	N/A	0.000
inflammation and stiffness in the joints	NO_MATCH	N/A	N/A	0.000
influence of Mobilian Jargon	NO_MATCH	N/A	N/A	0.000
information	Q11028	information	that which informs; the answer to a question; that from which knowledge can be derived	1.000
inner bark of several tree species from the genus Cinnamomum	NO_MATCH	N/A	N/A	0.000
innovative use of harmony	NO_MATCH	N/A	N/A	0.000
insects	Q1390	insect	subclass of arthropods	1.000
insider trading	Q854623	insider trading	trading of a public company's securities by individuals based on material, nonpublic information about the company	1.000
instrumental rock music	NO_MATCH	N/A	N/A	0.000
instruments to collect data	NO_MATCH	N/A	N/A	0.000
integration of medical imaging with electronic health records	NO_MATCH	N/A	N/A	0.000
integration of medical imaging with other clinical systems	NO_MATCH	N/A	N/A	0.000
intelligence	Q1665657	Intelligence	peer-reviewed academic journal of psychology	1.000
intention of each process to enter the critical section	NO_MATCH	N/A	N/A	0.000
interacting with the spirit world	NO_MATCH	N/A	N/A	0.000
interaction with a user interface	NO_MATCH	N/A	N/A	0.000
interaction with an input device	NO_MATCH	N/A	N/A	0.000
international development	Q2477868	international development	wide concept concerning the level of development on an international scale	1.000
interpretation of the Categories	NO_MATCH	N/A	N/A	0.000
interviews	Q6045018	InterViews	deprecated GUI widget toolkit	1.000
intricate world-building	NO_MATCH	N/A	N/A	0.000
introduction of a minimum wage	NO_MATCH	N/A	N/A	0.000
invasive species	Q183368	invasive species	non-native organism causing damage to an established environment	1.000
investigations	Q13115914	Investigations	20th episode of the second season of Star Trek: Voyager	1.000
involvement in the Hōgen Rebellion	NO_MATCH	N/A	N/A	0.000
involvement in the controversy over the authenticity of the Zohar	NO_MATCH	N/A	N/A	0.000
involvement in the controversy over the use of unleavened bread in the Eucharist	NO_MATCH	N/A	N/A	0.000
irreverent and satirical content	NO_MATCH	N/A	N/A	0.000
irritation in hosts	NO_MATCH	N/A	N/A	0.000
is limited	NO_MATCH	N/A	N/A	0.000
isolation	Q1756228	Isolation	1984 album by Toto	1.000
isotopes of hydrogen	Q466603	isotope of hydrogen	hydrogen with different numbers of neutrons	1.000
its confluence with the Mississippi River	NO_MATCH	N/A	N/A	0.000
its downfall	NO_MATCH	N/A	N/A	0.000
its historic center	NO_MATCH	N/A	N/A	0.000
